水泥品种,水泥强度,粉煤灰种类-依据地区,混凝土级配,水灰比,水泥用量（kg/m3）,粉煤灰掺量（%）,砂率,减水剂种类,减水剂掺量（%）,引气剂种类,引气剂掺量（%）,混凝土温度,R7（已整合）
1,42.5,15,2,0.45,245,61,43,5,0.8,1,1.4,8,14.7
3,42.5,15,3,0.48,150,64,30,10,0.6,1,1.8,4,14.7
1,42.5,18,2,0.41,244,61,35,5,0.8,1,0.5,9.5,14.8
3,52.5,16,2,0.45,231,58,34,10,0.6,2,0.6,11.7,14.9
3,52.5,3,3,0.45,183,46,30,10,0.7,2,0.7,16.2,14.9
3,52.5,17,3,0.45,178,44,29,10,0.6,2,0.6,16,14.9
1,42.5,15,2,0.45,240,60,35,10,0.6,1,1.5,6,14.9
3,52.5,16,2,0.45,210,52,34,10,0.6,2,0.6,11.4,15
3,52.5,17,3,0.45,171,43,29,10,0.6,2,0.6,14.6,15
1,42.5,15,2,0.45,222,56,33,10,0.6,1,1.6,8,15
3,52.5,3,2,0.45,184,79,36,10,0.7,2,0.75,13.2,15.1
3,52.5,11,2,0.45,219,55,36,10,0.7,2,0.7,10.1,15.1
3,52.5,17,3,0.45,176,44,30,10,0.7,2,0.5,9.5,15.1
3,52.5,17,2,0.45,225,75,41,3,0.6,2,0.6,8.2,15.1
3,52.5,17,3,0.45,148,63,30,10,0.6,2,0.7,8.4,15.1
1,42.5,18,2,0.41,244,61,35,5,0.8,1,1.1,9,15.1
1,42.5,15,2,0.41,263,66,32,5,0.8,1,1.3,7,15.1
1,42.5,15,2,0.45,222,56,33,10,0.6,1,1.7,7,15.1
3,52.5,17,3,0.45,171,43,29,10,0.6,2,0.6,9.9,15.2
3,52.5,7,3,0.45,157,67,30,10,0.7,2,0.75,8.5,15.2
3,52.5,17,3,0.45,196,49,33,10,0.6,2,0.65,12.1,15.2
1,42.5,15,2,0.43,279,93,48,6,0.6,1,0.6,9,15.2
3,52.5,17,2,0.45,210,52,34,10,0.7,2,0.6,9,15.3
3,52.5,16,2,0.5,202,50,35,10,0.6,2,0.8,8.1,15.3
3,52.5,3,2,0.45,222,56,35,10,0.7,2,0.5,7.7,15.3
3,52.5,10,3,0.45,187,47,30,10,0.7,2,0.8,10,15.4
3,52.5,7,3,0.53,155,39,31,10,0.7,2,0.7,9.3,15.4
1,42.5,15,2,0.43,241,80,43,5,0.8,1,1,8,15.4
3,42.5,15,2,0.45,245,61,43,5,0.8,1,0.7,8,15.4
3,52.5,3,2,0.45,184,79,36,10,0.7,2,0.75,16.5,15.5
3,52.5,17,3,0.45,152,65,30,10,0.7,2,0.7,3.8,15.5
3,52.5,3,2,0.45,258,64,43,3,0.7,2,1,6.5,15.5
1,42.5,15,2,0.43,241,80,43,5,0.8,1,0.8,7,15.5
1,42.5,18,2,0.45,240,60,43,5,0.8,1,0.7,4,15.5
1,42.5,18,2,0.45,245,61,43,5,0.8,1,1.4,7,15.5
3,52.5,17,3,0.45,174,44,29,10,0.6,2,0.6,6,15.6
3,52.5,17,2,0.45,228,76,42,3,0.6,2,0.6,7,15.6
3,52.5,3,3,0.45,189,47,31,10,0.5,2,0.7,8.5,15.6
3,42.5,15,3,0.48,150,64,30,10,0.6,1,1.8,7,15.6
3,52.5,16,3,0.45,171,43,29,10,0.6,2,0.6,8.6,15.7
3,52.5,3,1,0.45,245,61,41,10,0.7,2,0.7,13.5,15.7
3,52.5,17,2,0.45,210,52,34,10,0.6,2,0.6,12.7,15.7
3,52.5,3,3,0.45,181,45,30,10,0.7,2,0.5,7.8,15.7
3,52.5,3,3,0.45,189,47,31,10,0.5,2,0.7,11.5,15.7
3,52.5,15,3,0.45,190,48,29,10,0.6,2,0.6,2,15.7
3,42.5,15,2,0.45,231,58,34,10,0.6,1,1.4,6,15.7
3,52.5,18,3,0.45,174,44,28,2,0.6,2,1.65,15.2,15.8
3,52.5,7,3,0.45,183,46,30,10,0.7,2,0.7,9.3,15.8
3,52.5,17,2,0.45,217,54,34,10,0.6,2,0.6,7,15.8
3,52.5,7,3,0.45,181,45,30,10,0.7,2,0.5,3.5,15.8
1,42.5,15,2,0.45,240,60,35,10,0.6,1,1.5,9,15.8
3,52.5,18,2,0.45,226,56,36,10,0.6,2,0.5,12.5,15.9
3,52.5,18,2,0.45,244,61,42,3,0.6,2,0.6,12.3,15.9
3,52.5,7,3,0.45,152,65,30,10,0.7,2,0.75,8.7,15.9
3,52.5,3,2,0.45,217,54,35,10,0.7,2,0.5,6,15.9
1,42.5,18,2,0.45,245,61,43,5,0.8,1,0.9,7,15.9
1,42.5,15,2,0.45,240,60,43,5,0.8,1,0.9,7,15.9
3,42.5,15,2,0.48,174,74,35,10,0.6,1,1.7,14,15.9
1,42.5,15,3,0.45,188,47,28,10,0.6,1,1.8,16,15.9
3,52.5,17,3,0.45,174,44,29,10,0.6,2,0.6,10.7,16
3,52.5,7,3,0.45,152,65,30,10,0.7,2,0.75,6.3,16
3,52.5,17,2,0.45,228,76,42,3,0.6,2,0.6,9,16
1,42.5,15,2,0.45,203,51,34,10,0.6,1,1.7,8,16
3,52.5,3,2,0.45,219,55,36,10,0.7,2,0.7,13.7,16.1
3,52.5,16,2,0.5,195,49,35,10,0.6,2,0.8,11,16.1
3,52.5,3,1,0.45,247,62,40,10,0.7,2,0.5,10,16.1
1,42.5,15,2,0.45,222,56,33,10,0.6,1,1.6,8,16.1
3,42.5,15,2,0.45,240,60,43,5,0.8,1,1.8,13,16.1
3,52.5,11,3,0.5,157,39,29,2,0.6,2,1.2,13,16.2
3,52.5,17,3,0.45,152,65,30,10,0.7,2,0.7,5.8,16.2
3,52.5,7,3,0.45,181,45,30,10,0.7,2,0.5,11.5,16.2
3,52.5,3,2,0.45,217,54,35,10,0.7,2,0.5,6,16.2
3,52.5,3,2,0.45,222,56,35,10,0.7,2,0.5,5.5,16.2
3,42.5,15,3,0.48,150,64,30,10,0.6,1,1.6,5,16.2
3,52.5,18,3,0.45,171,43,29,10,0.6,2,0.6,14.2,16.3
3,42.5,15,3,0.48,146,63,30,10,0.6,1,1.9,11,16.3
3,52.5,17,3,0.5,146,49,29,10,0.6,2,0.5,13,16.4
3,52.5,17,2,0.5,174,58,35,10,0.6,2,0.5,14,16.4
3,52.5,3,1,0.45,247,62,40,10,0.7,2,0.5,11.5,16.4
3,42.5,15,3,0.45,174,44,28,10,0.6,1,1.8,15,16.4
3,42.5,15,2,0.45,230,77,43,5,0.8,1,0.8,7,16.4
3,52.5,16,2,0.45,222,56,34,10,0.6,2,0.7,9.5,16.5
3,52.5,17,4,0.45,137,59,25,10,0.5,2,0.95,6.8,16.5
3,52.5,7,2,0.45,222,56,35,10,0.7,2,0.5,9.4,16.5
3,52.5,3,3,0.45,189,47,31,10,0.5,2,0.7,10,16.5
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.1,11,16.5
3,42.5,17,2,0.45,229,57,33,4,0.6,1,2,4,16.5
1,42.5,15,2,0.45,222,56,33,10,0.6,1,1.4,7,16.5
3,42.5,15,2,0.45,230,77,43,5,0.8,1,0.8,8,16.5
3,52.5,2,3,0.45,142,62,28,7,0.6,2,0.6,7,16.6
3,52.5,7,2,0.45,222,56,35,10,0.7,2,0.5,9.4,16.6
3,52.5,3,2,0.45,222,56,35,10,0.7,2,0.5,9,16.6
3,52.5,3,1,0.45,247,62,40,10,0.7,2,0.5,12,16.6
3,52.5,3,2,0.4,250,63,35,10,0.7,2,0.65,6.5,16.6
3,52.5,15,3,0.45,190,48,29,10,0.6,2,0.6,8,16.6
3,42.5,15,2,0.43,273,68,44,5,0.8,1,0.8,14,16.6
1,42.5,18,2,0.41,254,63,34,5,0.8,1,1.1,10.8,16.6
3,42.5,15,3,0.48,146,63,30,10,0.6,1,1.6,12,16.6
1,42.5,15,2,0.45,245,61,33,5,0.8,1,1.2,14,16.6
3,52.5,12,4,0.45,167,42,25,10,0.5,2,1,4.4,16.7
3,52.5,16,3,0.45,171,43,29,10,0.6,2,0.6,10,16.7
3,42.5,15,3,0.48,140,60,30,10,0.6,2,0.6,5,16.7
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.1,10,16.7
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.3,16,16.7
3,52.5,12,3,0.45,185,20,29,10,0.6,2,0.8,5.5,16.8
3,52.5,17,3,0.45,167,56,29,10,0.7,2,0.6,16.2,16.8
3,52.5,16,2,0.5,195,49,35,10,0.6,2,0.8,10,16.8
3,52.5,17,2,0.45,244,61,42,3,0.6,2,0.6,13.5,16.8
3,52.5,3,1,0.45,267,67,43,10,0.8,2,1,4.6,16.8
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.4,7,16.8
3,52.5,16,3,0.45,183,46,29,10,0.6,2,1,11.8,16.9
3,52.5,17,3,0.45,171,43,29,10,0.6,2,0.6,16,16.9
3,42.5,15,2,0.45,245,61,43,5,0.8,1,0.9,9,16.9
3,52.5,7,2,0.53,186,46,37,10,0.7,2,0.7,13,17
3,52.5,3,2,0.45,222,56,35,10,0.7,2,0.5,2.5,17
3,52.5,3,2,0.45,258,64,43,3,0.7,2,1,13,17
3,42.5,15,3,0.48,146,63,30,10,0.6,2,0.5,9,17
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.1,13,17
3,42.5,15,2,0.45,245,61,43,5,0.8,1,1.1,7,17
1,42.5,15,1,0.41,298,75,40,5,0.8,1,1,8,17
3,52.5,7,2,0.45,219,55,36,10,0.7,2,0.7,1.8,17.1
3,52.5,12,4,0.45,160,40,25,10,0.5,2,0.8,7.7,17.1
3,52.5,16,2,0.45,231,58,34,10,0.6,2,0.6,3,17.1
3,52.5,7,2,0.45,224,56,37,10,0.7,2,0.7,5.8,17.1
3,52.5,18,3,0.45,171,43,29,10,0.6,2,0.6,9,17.1
3,52.5,3,3,0.45,181,45,30,10,0.7,2,0.5,4,17.1
3,52.5,3,1,0.45,247,62,40,10,0.7,2,0.5,12,17.1
1,42.5,15,2,0.45,211,53,33,5,0.8,1,1.2,7,17.1
3,42.5,15,2,0.45,231,58,34,10,0.6,1,1.7,16,17.1
3,42.5,15,2,0.45,222,56,33,10,0.6,1,1.4,6,17.1
3,52.5,1,2,0.48,234,58,43,3,0.6,2,0.4,12.8,17.2
3,52.5,7,3,0.45,157,67,30,10,0.7,2,0.75,6.3,17.2
3,52.5,7,3,0.45,178,44,30,10,0.7,2,0.7,11.9,17.2
3,52.5,3,3,0.45,181,45,30,10,0.7,2,0.5,3.5,17.2
3,52.5,3,1,0.45,247,62,40,10,0.7,2,0.5,7,17.2
3,52.5,16,1,0.45,252,63,41,10,0.5,2,0.8,9.2,17.3
3,52.5,11,3,0.45,174,44,28,2,0.6,2,1.2,18,17.3
3,52.5,17,2,0.45,244,61,42,3,0.6,2,0.6,11.9,17.3
3,42.5,15,2,0.45,240,60,43,5,0.8,1,1,12,17.3
3,52.5,7,3,0.45,189,47,31,10,0.5,2,0.7,4.9,17.4
3,52.5,7,3,0.45,183,46,30,10,0.7,2,0.7,6,17.4
3,52.5,18,2,0.45,231,58,34,10,0.6,2,0.6,5.6,17.4
3,52.5,16,3,0.45,178,44,29,10,0.6,2,0.6,13.2,17.4
3,42.5,15,3,0.45,174,44,28,10,0.6,1,1.8,7,17.4
3,42.5,15,3,0.45,174,44,28,10,0.6,1,1.5,7,17.4
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.4,12,17.4
3,52.5,12,2,0.45,247,62,36,10,0.5,2,0.8,17.1,17.5
3,52.5,7,1,0.45,245,61,41,10,0.7,2,0.7,10.3,17.5
3,52.5,7,3,0.45,152,65,30,10,0.7,2,0.75,5.8,17.5
3,42.5,15,3,0.48,146,63,28,10,0.6,2,0.7,8.5,17.5
3,42.5,15,2,0.45,252,63,43,3,0.6,1,0.8,7,17.5
3,42.5,18,2,0.45,215,54,33,4,0.6,1,2,8,17.5
3,42.5,17,2,0.45,222,56,33,4,0.6,1,2.5,17,17.5
3,42.5,18,2,0.45,203,25,35,5,0.8,1,1.3,12,17.5
3,42.5,15,2,0.45,240,60,43,5,0.8,1,0.6,12.5,17.5
3,52.5,18,3,0.45,174,44,28,2,0.6,2,1.25,13.9,17.6
3,52.5,3,2,0.45,217,54,35,10,0.7,2,0.5,7.6,17.6
3,52.5,3,3,0.45,181,45,30,10,0.7,2,0.5,8,17.6
3,42.5,15,2,0.45,215,54,33,10,0.6,1,1.4,8,17.6
3,42.5,15,2,0.45,222,56,33,10,0.6,1,1.4,7,17.6
1,42.5,18,2,0.43,241,80,43,5,0.8,1,1.5,9,17.6
3,42.5,15,2,0.45,245,61,43,5,0.8,1,1,7,17.6
3,52.5,18,4,0.45,160,40,25,10,0.5,2,0.8,14.1,17.7
3,52.5,16,3,0.45,171,43,29,10,0.6,2,0.6,10.2,17.7
3,52.5,17,2,0.45,231,58,34,10,0.6,2,0.6,19,17.7
3,52.5,7,2,0.45,219,55,36,10,0.7,2,0.7,5.3,17.7
3,52.5,16,3,0.45,183,46,29,10,0.6,2,0.9,7.4,17.7
3,52.5,3,1,0.45,267,67,43,3,0.8,2,1,2.9,17.7
3,42.5,18,2,0.48,156,67,34,5,0.8,1,1.4,12,17.7
3,52.5,7,2,0.45,219,55,36,10,0.7,2,0.7,16.5,17.8
3,52.5,7,2,0.45,219,55,36,10,0.7,2,0.7,7.6,17.8
3,52.5,3,1,0.45,247,62,40,10,0.7,2,0.5,6.7,17.8
3,42.5,15,3,0.45,174,44,28,10,0.6,2,0.6,6,17.8
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.3,10,17.8
3,42.5,15,2,0.45,245,61,43,5,0.8,1,0.7,9,17.8
3,42.5,15,3,0.48,150,64,30,10,0.6,1,2,13,17.8
3,52.5,13,3,0.45,178,20,31,10,0.6,2,0.6,11,17.9
3,52.5,7,2,0.45,224,56,37,10,0.5,2,0.7,14.6,17.9
3,52.5,18,3,0.5,157,39,29,10,0.6,2,0.6,12.9,17.9
3,52.5,17,3,0.45,171,43,29,10,0.6,2,0.6,17.6,17.9
3,52.5,16,3,0.45,183,46,29,10,0.6,2,0.8,8.7,17.9
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.3,13,17.9
3,52.5,13,3,0.45,162,25,31,10,0.7,2,0.7,9.3,18
3,52.5,11,2,0.4,242,61,35,2,0.6,2,0.65,5.1,18
3,52.5,18,2,0.45,244,61,42,3,0.6,2,0.6,12.3,18
3,52.5,17,2,0.45,228,76,42,3,0.6,2,0.6,11.8,18
3,52.5,3,3,0.45,181,45,30,10,0.7,2,0.5,11,18
3,42.5,17,3,0.45,181,45,28,4,0.6,1,1.5,13,18
3,42.5,18,3,0.45,181,45,28,5,0.6,1,1.3,7,18
3,52.5,17,3,0.45,160,53,29,10,0.7,2,0.7,11.4,18.1
3,52.5,16,3,0.45,178,44,30,10,0.7,2,0.7,6.4,18.1
3,52.5,17,2,0.45,228,76,41,3,0.6,2,0.6,13.4,18.1
3,52.5,3,3,0.45,181,45,30,10,0.7,2,0.5,2,18.1
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.2,17.5,18.1
3,42.5,15,2,0.45,245,61,43,5,0.8,1,0.7,12,18.1
3,42.5,15,3,0.45,188,47,28,10,0.6,1,1.8,16,18.1
3,52.5,18,4,0.45,160,40,25,10,0.5,2,0.8,14.2,18.2
3,52.5,17,1,0.45,276,69,45,3,0.6,2,0.4,10.8,18.2
3,52.5,11,3,0.45,174,44,28,10,0.6,2,1,7.5,18.2
3,52.5,17,3,0.45,174,44,29,10,0.6,2,0.6,14,18.2
3,52.5,18,2,0.45,199,50,35,7,0.6,2,0.6,18.7,18.2
3,52.5,16,2,0.45,243,61,42,3,0.6,2,0.6,13,18.2
3,52.5,7,2,0.5,211,52,43,3,0.6,2,0.4,10.5,18.2
3,52.5,17,3,0.45,171,43,29,10,0.6,2,0.6,10,18.2
3,52.5,15,3,0.45,181,45,30,10,0.7,2,0.5,4,18.2
3,42.5,7,3,0.45,174,44,28,4,0.6,1,3,14,18.2
3,42.5,15,3,0.48,150,64,30,10,0.6,1,1.8,12,18.2
3,52.5,12,2,0.45,233,58,36,10,0.5,2,0.8,8.1,18.3
3,52.5,7,3,0.45,178,44,30,10,0.7,2,0.7,16.5,18.3
3,52.5,16,2,0.45,210,52,34,10,0.6,2,0.6,10,18.3
3,52.5,16,3,0.45,178,44,29,10,0.6,2,0.6,7.9,18.3
3,52.5,7,1,0.45,272,68,45,10,0.6,2,0.3,16.6,18.3
3,52.5,17,2,0.45,225,75,41,3,0.6,2,0.6,8.5,18.3
3,52.5,17,4,0.45,137,59,25,10,0.5,2,0.95,6,18.3
3,52.5,17,3,0.45,196,49,33,10,0.6,2,0.65,9,18.3
3,52.5,17,3,0.45,171,43,29,10,0.6,2,0.6,10.3,18.3
3,52.5,3,3,0.45,189,47,31,10,0.5,2,0.7,8.6,18.3
3,42.5,18,2,0.45,215,54,33,4,0.6,1,4,10,18.3
3,42.5,15,3,0.45,188,47,28,10,0.6,1,1.8,7.5,18.3
3,42.5,15,2,0.43,279,93,48,6,0.6,1,0.6,9.2,18.3
3,52.5,1,2,0.48,234,58,43,3,0.6,2,0.4,12.8,18.4
3,52.5,7,2,0.45,219,55,36,10,0.7,2,0.4,7.7,18.4
3,52.5,17,3,0.45,174,44,29,10,0.6,2,0.6,15.6,18.4
3,52.5,16,2,0.47,248,44,42,3,0.6,2,0.6,14.9,18.4
3,52.5,17,2,0.45,228,76,42,3,0.6,2,0.6,10,18.4
3,52.5,15,2,0.45,222,56,35,10,0.7,2,0.5,8,18.4
3,42.5,15,3,0.45,174,44,28,10,0.6,1,1.1,11,18.4
1,42.5,18,2,0.43,241,80,43,5,0.8,1,0.5,8,18.4
3,52.5,17,3,0.45,160,53,29,10,0.7,2,0.7,14.2,18.5
3,52.5,17,2,0.45,217,54,34,10,0.6,2,0.5,13.5,18.5
3,52.5,7,2,0.45,213,53,36,10,0.7,2,0.7,7,18.5
3,52.5,17,2,0.45,225,75,41,3,0.6,2,0.6,7,18.5
3,42.5,15,2,0.45,245,61,43,5,0.8,1,1.1,15,18.5
3,42.5,15,1,0.45,267,67,40,10,0.6,1,0.9,14,18.5
3,42.5,15,2,0.45,240,60,43,5,0.8,1,0.6,6,18.5
3,52.5,7,3,0.45,178,44,30,10,0.7,2,0.5,8.5,18.6
3,52.5,17,2,0.45,217,54,34,10,0.6,2,0.5,14.2,18.6
3,52.5,17,3,0.45,171,43,29,10,0.6,2,0.6,11.8,18.6
3,52.5,17,3,0.45,171,43,29,10,0.6,2,0.6,9.3,18.6
3,52.5,7,3,0.45,183,46,30,10,0.7,2,0.7,10,18.6
3,52.5,16,2,0.45,222,56,34,10,0.6,2,0.7,7.5,18.6
3,52.5,16,3,0.45,183,46,29,10,0.6,2,0.8,5.8,18.6
3,52.5,16,3,0.45,183,46,29,10,0.6,2,0.6,7.5,18.6
3,52.5,3,1,0.45,247,62,40,10,0.7,2,0.5,8.5,18.6
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.3,11,18.6
3,42.5,15,2,0.45,245,61,43,5,0.8,1,0.8,8,18.6
3,42.5,15,2,0.45,225,75,43,5,0.8,1,0.8,7,18.6
3,52.5,16,2,0.45,217,54,34,10,0.6,2,0.6,8.9,18.7
3,52.5,16,3,0.45,178,44,29,10,0.6,2,0.6,4.3,18.7
3,52.5,3,2,0.45,224,56,37,10,0.5,2,0.7,13.4,18.7
3,52.5,7,2,0.45,222,56,35,10,0.7,2,0.5,14,18.7
3,52.5,17,3,0.45,171,43,29,10,0.6,2,0.6,13,18.7
3,52.5,18,2,0.45,258,64,43,3,0.7,2,1,7,18.7
3,42.5,15,3,0.45,174,44,28,10,0.6,2,0.7,5,18.7
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.1,8,18.7
3,42.5,17,3,0.45,181,45,28,4,0.6,1,2,8,18.7
3,42.5,17,2,0.45,236,59,33,10,0.6,1,1.5,13,18.7
2,42.5,15,2,0.45,240,60,43,5,0.8,1,1.1,11,18.7
3,52.5,17,1,0.45,240,60,39,10,0.6,2,0.5,14.2,18.8
3,52.5,16,3,0.45,178,44,29,10,0.6,2,0.6,11.1,18.8
3,52.5,18,2,0.45,244,61,42,3,0.6,2,0.6,11.9,18.8
3,52.5,7,3,0.45,183,46,30,10,0.7,2,0.7,9,18.8
3,52.5,3,2,0.45,258,64,43,3,0.7,2,1,9.7,18.8
3,52.5,3,3,0.45,181,45,30,10,0.7,2,0.5,10,18.8
3,42.5,15,2,0.45,236,59,33,10,0.6,1,1.3,13,18.8
3,42.5,18,2,0.45,215,54,33,4,0.6,1,3,9,18.8
3,42.5,15,2,0.48,230,58,43,5,0.8,1,1.5,8,18.8
3,42.5,15,2,0.45,231,58,34,10,0.6,1,1.7,14,18.8
3,52.5,17,3,0.45,167,56,29,10,0.7,2,0.6,9.3,18.9
3,52.5,17,2,0.45,210,52,34,10,0.6,2,0.6,13.2,18.9
3,52.5,11,2,0.45,219,55,36,10,0.7,2,0.7,13.4,18.9
3,52.5,18,2,0.45,210,52,34,10,0.6,2,0.8,10.8,18.9
3,52.5,18,2,0.45,208,52,36,7,0.6,2,0.5,16,18.9
3,52.5,7,3,0.45,181,45,30,10,0.7,2,0.5,11,18.9
3,52.5,7,3,0.45,181,45,30,10,0.7,2,0.5,10.3,18.9
3,52.5,3,2,0.45,258,64,43,3,0.7,2,1,7.4,18.9
3,52.5,3,2,0.45,263,66,43,10,0.6,2,0.7,11.5,18.9
3,42.5,15,3,0.45,174,44,28,10,0.6,1,1.6,5,18.9
3,42.5,15,3,0.45,174,44,28,10,0.6,1,1.2,9,18.9
3,42.5,17,2,0.45,236,59,33,4,0.6,1,1.5,10,18.9
3,42.5,18,2,0.45,222,56,33,10,0.6,1,1.4,12,18.9
3,52.5,18,2,0.45,247,62,36,10,0.6,2,6,13.7,19
3,52.5,18,2,0.45,226,56,36,10,0.5,2,0.8,12.3,19
3,52.5,16,1,0.49,251,63,46,3,0.6,2,0.6,10.8,19
