水泥品种,水泥强度,粉煤灰种类-依据地区,混凝土级配,水灰比,水泥用量（kg/m3）,粉煤灰掺量（%）,砂率,减水剂种类,减水剂掺量（%）,引气剂种类,引气剂掺量（%）,混凝土温度,R7（已整合）
1,42.5,18,3,0.45,167,42,29,5,0.8,1,1.4,3,7.7
1,42.5,15,3,0.5,129,69,30,10,0.6,1,3.5,6,9.2
1,42.5,15,2,0.45,240,60,35,10,0.6,1,1.8,16,9.7
1,42.5,15,2,0.45,240,60,35,10,0.6,1,1.5,8,9.8
1,42.5,15,2,0.45,245,61,43,5,0.8,1,0.8,7,10
1,42.5,18,3,0.45,175,44,29,5,0.8,1,1.8,12.5,10.1
1,42.5,15,2,0.45,240,60,35,10,0.6,1,1.8,16,10.4
1,42.5,15,3,0.45,181,45,18,10,0.6,1,1.5,7,10.9
1,42.5,15,3,0.45,180,60,30,5,0.8,1,3.1,7.5,11.3
1,42.5,15,2,0.45,240,60,43,5,0.8,1,0.8,9.1,11.3
1,42.5,18,2,0.41,244,61,35,5,0.8,1,2,11,11.5
1,42.5,15,2,0.45,231,71,36,5,0.8,1,2.3,7,11.6
3,52.5,3,2,0.45,184,79,36,10,0.7,2,0.75,10.6,11.7
1,42.5,15,2,0.41,263,66,32,5,0.8,1,1.3,10.7,11.7
1,42.5,15,2,0.45,240,60,43,10,0.6,1,1.8,16,11.8
1,42.5,15,2,0.48,183,98,43,5,0.8,1,1.2,12,11.8
1,42.5,15,3,0.45,181,45,28,10,0.6,1,1.7,7,11.9
1,42.5,15,2,0.45,222,56,33,10,0.6,1,1.5,9,11.9
1,42.5,15,2,0.45,240,60,35,10,0.6,1,1.7,5,11.9
1,42.5,18,2,0.41,244,61,35,5,0.8,1,1.2,8,12.1
1,42.5,15,3,0.45,180,60,32,5,0.8,1,1.5,11,12.3
1,42.5,18,2,0.45,203,51,34,5,0.8,1,1.2,9,12.6
1,42.5,15,3,0.45,188,47,28,10,0.6,1,1.6,6,12.7
3,42.5,15,3,0.48,150,64,30,10,0.6,1,1.9,15,12.7
3,52.5,3,2,0.45,224,56,34,10,0.6,2,0.6,9.8,12.8
3,52.5,15,2,0.45,229,57,35,10,0.6,2,0.6,8,13
1,42.5,18,2,0.45,203,51,33,5,0.8,1,2.1,6.5,13
1,42.5,18,2,0.45,203,51,34,5,0.8,1,1.6,9,13
1,42.5,18,3,0.45,167,42,29,5,0.8,1,2.1,5,13.1
1,42.5,18,2,0.45,222,56,33,10,0.6,1,1.3,8,13.1
1,42.5,15,3,0.45,181,45,28,10,0.6,1,1.8,8,13.2
3,52.5,17,2,0.45,210,52,34,10,0.6,2,0.6,14.3,13.3
1,42.5,15,3,0.45,181,45,28,10,0.6,1,1.8,7,13.3
3,52.5,16,3,0.45,159,68,30,10,0.5,2,0.95,10.6,13.4
3,52.5,16,1,0.45,242,60,40,10,0.7,2,0.5,12.4,13.4
1,42.5,18,2,0.41,244,61,35,5,0.8,1,1.3,14.5,13.4
1,42.5,15,2,0.45,222,56,33,10,0.6,1,1.5,8,13.4
1,42.5,15,1,0.45,258,64,39,10,0.6,1,1,8,13.4
1,42.5,15,3,0.45,180,60,30,5,0.8,1,2.6,6,13.4
1,42.5,15,2,0.45,222,56,33,10,0.6,1,1.4,7,13.4
3,52.5,12,4,0.5,112,35,25,10,0.6,2,0.8,4.1,13.5
1,42.5,15,2,0.45,213,71,36,5,0.8,1,1.4,3,13.5
1,42.5,15,2,0.45,240,60,35,10,0.6,1,1.5,13,13.5
1,42.5,18,2,0.41,234,59,34,5,0.8,1,1.3,8.7,13.6
1,42.5,15,3,0.45,181,45,28,10,0.6,1,1.6,8.5,13.6
1,42.5,15,2,0.45,222,56,33,10,0.6,1,2,6,13.6
1,42.5,15,2,0.45,213,71,36,5,0.8,1,1.3,11,13.7
2,42.5,6,1,0.68,177,93,43.9,9,2,0,0,25,13.7
3,52.5,17,2,0.45,210,52,34,10,0.6,2,0.6,10,13.8
1,42.5,15,2,0.45,240,60,35,10,0.6,1,1.5,12,13.8
3,52.5,3,3,0.45,152,65,30,10,0.7,2,0.75,13.7,13.9
3,42.5,15,3,0.48,150,64,30,10,0.6,1,1.6,14,13.9
3,52.5,17,2,0.45,263,66,45,10,0.7,2,0.3,14.8,14
3,52.5,3,3,0.45,181,45,30,10,0.7,2,0.5,15,14
3,52.5,3,3,0.45,189,47,31,10,0.5,2,0.7,8.5,14
1,42.5,15,3,0.45,181,45,28,10,0.7,1,1.7,7,14
3,42.5,15,3,0.48,146,63,30,10,0.6,1,1.9,10,14.1
1,42.5,15,3,0.45,185,62,30,5,0.8,1,1.3,10,14.1
3,52.5,16,2,0.45,210,52,34,10,0.6,2,0.6,14,14.2
1,42.5,15,3,0.45,188,47,28,10,0.6,1,1.9,15,14.2
1,42.5,15,2,0.45,240,60,35,10,0.6,1,1.7,12,14.2
3,52.5,3,3,0.45,178,44,30,10,0.7,2,0.7,5.2,14.3
3,52.5,3,1,0.45,247,62,40,10,0.7,2,0.5,10.2,14.3
3,52.5,3,1,0.5,248,82,63,10,0.6,2,0.2,14.5,14.3
3,42.5,15,3,0.48,150,64,30,10,0.6,1,1.4,9,14.3
3,52.5,16,2,0.45,217,54,34,10,0.6,2,0.6,8.8,14.4
3,52.5,16,2,0.45,210,52,34,10,0.6,2,0.6,11.9,14.4
3,52.5,13,3,0.45,176,44,31,10,0.6,2,0.8,8,14.5
3,52.5,3,1,0.45,247,62,40,10,0.7,2,0.5,9.6,14.6
3,52.5,3,2,0.53,186,46,37,10,0.7,2,0.7,7,14.6
3,42.5,15,2,0.48,156,67,34,5,0.8,1,1.5,17,14.6
1,42.5,18,2,0.41,254,63,34,5,0.8,1,1.3,7.9,14.7
