水泥品种,水泥强度,粉煤灰种类-依据地区,混凝土级配,水灰比,水泥用量（kg/m3）,粉煤灰掺量（%）,砂率,减水剂种类,减水剂掺量（%）,引气剂种类,引气剂掺量（%）,混凝土温度,R28（已整合）
3,42.5,15,4,0.55,96,64,27,10,0.6,2,0.8,7,15
3,42.5,7,4,0.55,94,63,28,4,0.6,1,3.5,9,15
3,42.5,7,4,0.5,125,54,26,4,0.6,1,3,3,15
3,42.5,17,4,0.5,91,75,27,4,0.6,1,2.5,11,15
3,52.5,12,4,0.55,101,68,28,10,0.5,2,1,13.3,15.1
3,42.5,15,4,0.55,94,63,28,10,0.6,1,3,2,15.1
3,42.5,17,4,0.55,92,61,27,4,0.6,1,3.5,5,15.1
3,42.5,15,4,0.55,94,63,28,10,0.6,2,0.9,10.5,15.1
3,52.5,14,3,0.55,136,30,32.5,10,0.5,2,0.6,7.6,15.2
3,52.5,18,4,0.55,93,62,26,10,0.6,2,0.8,6.8,15.2
3,52.5,15,4,0.55,92,61,25,10,0.6,2,0.7,8,15.2
3,42.5,15,4,0.55,94,63,28,10,0.6,2,0.9,11,15.2
3,42.5,17,3,0.55,108,72,34,4,0.6,1,4,9,15.2
1,42.5,17,4,0.5,113,61,27,4,0.6,1,3.5,11,15.2
3,42.5,18,4,0.5,91,75,27,4,0.6,1,4.8,18,15.3
3,42.5,7,4,0.5,91,75,27,4,0.6,1,4,17,15.3
3,42.5,15,2,0.55,132,88,36,10,0.6,1,1.1,11,15.3
3,52.5,18,4,0.55,92,61,25,10,0.5,2,1.1,5.9,15.4
3,52.5,16,3,0.55,125,83,32,10,0.5,2,1,13.7,15.4
3,42.5,15,4,0.55,94,63,28,10,0.6,1,3,4.5,15.4
3,42.5,17,2,0.55,128,85,36,4,0.6,1,3,10,15.4
3,42.5,7,3,0.55,111,74,31,4,0.6,1,3.5,9.5,15.4
3,52.5,14,4,0.5,114,35,26,10,0.6,2,1.1,3.8,15.5
3,42.5,17,4,0.5,91,75,27,4,0.6,1,4.5,6,15.5
3,42.5,15,4,0.55,94,63,27,10,0.6,1,1.3,13.5,15.5
3,42.5,7,4,0.5,91,75,27,4,0.6,1,3.5,10,15.5
3,42.5,17,4,0.5,91,75,27,4,0.6,1,3,10.5,15.5
3,52.5,18,4,0.55,92,61,25,10,0.5,2,1.1,12,15.6
3,52.5,4,4,0.55,96,64,27,10,0.6,2,0.8,5.7,15.6
3,42.5,15,4,0.55,92,61,27,10,0.6,1,3.5,8,15.6
3,42.5,17,4,0.55,96,64,28,4,0.6,1,3,7,15.6
3,42.5,15,4,0.55,94,63,28,10,0.6,2,0.7,10,15.6
3,42.5,7,2,0.55,132,88,36,4,0.6,1,3.5,8,15.6
3,42.5,15,4,0.55,94,63,27,10,0.6,2,0.7,6,15.6
3,42.5,18,4,0.5,91,75,27,4,0.6,1,3,12,15.6
3,52.5,16,4,0.55,96,64,27,10,0.6,2,0.8,12,15.7
3,52.5,18,4,0.55,92,61,25,10,0.5,2,1.35,10.4,15.7
3,52.5,18,3,0.55,103,68,30,10,0.6,2,1.2,15.5,15.7
3,42.5,17,3,0.55,108,72,34,4,0.6,1,3,5,15.7
3,42.5,17,4,0.55,96,64,27,4,0.6,1,3,7,15.7
3,42.5,7,3,0.55,108,72,34,4,0.6,1,3,13,15.7
3,52.5,16,4,0.55,92,61,25,10,0.5,2,1.35,5.3,15.8
3,52.5,16,4,0.55,93,62,25,10,0.6,2,1.15,7,15.8
3,42.5,7,4,0.5,91,75,27,4,0.6,1,4,10,15.8
3,42.5,7,4,0.5,91,75,27,4,0.6,1,4,9,15.8
3,42.5,7,4,0.5,91,75,27,4,0.6,1,4,15,15.8
3,52.5,13,4,0.55,96,64,28,10,0.6,2,0.75,19.7,15.9
3,52.5,13,4,0.55,96,64,28,10,0.6,2,0.75,15.6,15.9
3,52.5,18,4,0.55,92,61,25,10,0.5,2,1.35,7,15.9
3,42.5,17,3,0.55,108,72,34,4,0.6,1,3.5,5,15.9
3,52.5,17,4,0.55,96,40,28,10,0.6,2,0.65,7.8,16
3,52.5,18,4,0.55,92,61,27,10,0.6,1,1.5,12,16
3,42.5,7,3,0.55,107,71,31,4,0.6,1,3,2,16
3,42.5,18,3,0.55,108,72,34,4,0.6,1,2.5,8,16
1,42.5,15,4,0.5,113,61,27,10,0.6,1,1.4,7,16
3,42.5,17,4,0.55,94,63,27,10,0.6,1,1.6,12,16
3,52.5,1,3,0.5,129,69,31,10,0.7,2,0.8,7.5,16.1
3,52.5,15,4,0.5,111,60,24,10,0.6,2,0.65,3,16.1
3,42.5,17,4,0.55,92,61,27,4,0.6,1,4,9,16.1
3,42.5,17,3,0.55,103,68,31,4,0.6,1,3.4,8,16.1
3,42.5,7,4,0.55,92,61,27,4,0.6,1,3,20,16.1
3,42.5,15,4,0.55,94,63,27,10,0.6,1,1.6,11,16.1
3,52.5,18,4,0.55,92,61,25,10,0.5,2,1.1,15.2,16.2
3,42.5,15,3,0.55,103,68,31,10,0.6,1,3,7,16.2
3,42.5,17,3,0.48,147,63,33,4,0.6,1,3,6,16.2
3,42.5,18,3,0.55,103,68,31,4,0.6,1,3,13.5,16.2
3,42.5,7,4,0.55,92,61,27,4,0.6,1,3,15,16.2
3,42.5,17,4,0.55,92,61,27,4,0.6,1,2.5,9,16.2
3,52.5,18,4,0.55,94,63,29,10,0.7,2,1.4,8.6,16.3
3,52.5,18,4,0.55,92,61,27,2,0.6,2,1.45,11,16.3
3,42.5,15,3,0.55,111,74,31,10,0.6,2,0.6,13.5,16.3
3,42.5,18,4,0.5,91,75,27,4,0.6,1,4.5,15,16.3
3,42.5,7,4,0.55,92,61,27,4,0.6,1,3,14,16.3
3,42.5,15,3,0.55,111,74,31,10,0.6,1,1.1,8,16.3
3,42.5,7,3,0.48,140,60,30,4,0.6,1,3.5,11,16.4
3,42.5,18,4,0.5,91,75,27,4,0.6,1,2.5,9,16.4
3,42.5,17,4,0.55,92,61,27,4,0.6,1,3,8,16.4
1,42.5,17,4,0.5,113,61,27,4,0.6,1,2,13.7,16.4
3,52.5,3,4,0.55,92,61,26,10,0.7,2,0.7,13,16.5
3,42.5,18,4,0.5,91,75,27,4,0.6,1,4.2,6,16.5
3,52.5,17,4,0.55,96,40,27,10,0.6,2,0.7,8.1,16.6
3,52.5,13,4,0.55,96,64,28,10,0.6,2,0.75,19.7,16.6
3,52.5,18,4,0.55,92,61,25,10,0.5,2,1.35,2,16.6
3,42.5,15,4,0.55,94,63,27,10,0.6,1,1.3,9,16.6
3,52.5,17,4,0.5,120,35,28,10,0.7,2,0.75,2.8,16.7
3,52.5,13,4,0.55,96,40,28,10,0.6,2,0.75,7,16.7
3,52.5,18,4,0.55,92,61,25,10,0.5,2,1.35,6.7,16.7
3,52.5,12,4,0.55,101,68,28.5,10,0.5,2,1,11,16.7
3,52.5,18,4,0.55,101,68,28.5,10,0.5,2,1,12.7,16.7
3,52.5,18,4,0.55,94,63,26,10,0.5,2,1.1,13,16.7
3,52.5,3,2,0.55,124,83,36,10,0.6,2,0.7,4.8,16.7
3,42.5,17,3,0.55,108,72,34,4,0.6,1,3.5,6,16.7
3,42.5,17,4,0.5,91,75,27,4,0.6,1,4.5,7,16.7
3,42.5,17,3,0.55,107,71,31,4,0.6,1,2.5,12,16.7
3,52.5,18,4,0.55,92,61,25,10,0.5,2,1.35,10.2,16.8
3,52.5,16,4,0.5,108,72,26,10,0.6,2,0.7,4,16.8
3,52.5,16,4,0.55,99,66,28.5,10,0.7,2,0.8,5.5,16.8
3,52.5,18,4,0.55,92,61,27,10,0.6,1,1.2,12,16.8
3,42.5,7,4,0.5,91,75,27,4,0.6,1,4,14,16.8
3,42.5,15,4,0.55,94,63,27,10,0.6,1,1.6,12,16.8
3,52.5,3,4,0.55,96,64,28,10,0.6,2,0.6,6.2,16.9
3,52.5,3,4,0.5,111,60,24,10,0.6,2,0.65,7,16.9
3,42.5,15,4,0.55,92,61,27,10,0.6,1,3.5,9,16.9
3,42.5,18,3,0.55,103,68,31,4,0.6,1,2.5,7,16.9
3,42.5,18,3,0.5,91,75,27,4,0.6,1,2.5,11,16.9
3,42.5,15,2,0.55,132,88,36,10,0.6,1,1.1,14,16.9
3,42.5,17,2,0.55,128,85,36,4,0.6,1,3,7,16.9
3,52.5,18,2,0.55,124,83,37,10,0.6,2,1.35,4.9,17
3,42.5,18,4,0.5,91,75,27,4,0.6,1,3,7,17
3,42.5,18,4,0.5,91,75,27,4,0.6,1,5.7,4,17
3,42.5,7,4,0.55,92,61,27,4,0.6,1,3,10,17
3,42.5,17,4,0.55,92,61,27,4,0.6,1,2.5,11,17
3,52.5,16,4,0.5,108,72,26,10,0.6,2,0.6,8.1,17.1
3,42.5,18,4,0.55,96,64,28,4,0.6,1,3,4,17.1
3,42.5,17,4,0.5,113,61,27,4,0.6,1,3,4,17.1
3,42.5,15,4,0.55,92,61,27,10,0.6,2,0.8,9,17.1
3,42.5,15,4,0.55,94,63,27,10,0.6,1,1.4,13,17.1
3,52.5,11,4,0.55,96,40,27,10,0.6,2,0.7,9.4,17.2
3,52.5,12,4,0.55,92,61,25,10,0.5,2,1.35,9.2,17.2
3,52.5,16,3,0.55,111,74,31,10,0.6,2,0.8,6.4,17.2
3,42.5,17,3,0.55,108,72,34,4,0.6,1,4,5,17.2
3,42.5,15,4,0.55,92,61,27,10,0.6,1,3.5,9,17.2
3,42.5,17,3,0.55,103,68,31,4,0.6,1,3.8,6,17.2
3,42.5,15,2,0.55,132,88,36,10,0.6,1,1.2,13,17.2
3,52.5,18,4,0.55,91,60,25,10,0.6,2,1.15,8.3,17.3
3,52.5,4,4,0.55,96,64,27,10,0.6,2,0.8,5.3,17.3
3,42.5,15,4,0.55,96,64,27,10,0.6,2,0.8,9,17.3
3,42.5,18,3,0.55,103,68,30,4,0.6,1,3,4,17.3
3,52.5,13,4,0.55,98,40,29,10,0.7,2,0.75,10.8,17.4
3,52.5,16,4,0.55,98,64,28,10,0.6,2,0.8,7,17.4
3,52.5,11,3,0.55,117,78,35,2,0.6,2,0.75,11.5,17.4
3,52.5,15,4,0.55,92,61,26,10,0.6,1,1.5,11,17.4
3,42.5,17,4,0.5,113,61,27,4,0.6,1,3,5,17.4
3,42.5,15,4,0.55,92,61,27,10,0.6,1,3.5,6,17.4
3,42.5,7,4,0.5,91,75,27,4,0.6,1,4,15,17.4
3,42.5,17,4,0.55,92,61,27,4,0.6,1,2.5,9,17.4
3,52.5,11,4,0.55,94,63,29,10,0.7,2,1,10.6,17.5
3,52.5,17,4,0.55,94,63,26,10,0.5,2,1.1,14,17.5
3,52.5,3,4,0.55,92,61,26,10,0.6,2,0.7,10,17.5
3,42.5,17,4,0.48,128,55,27,4,0.6,1,2.5,5,17.5
3,42.5,18,4,0.5,91,75,27,4,0.6,1,2.8,6,17.5
3,42.5,17,3,0.55,108,72,34,4,0.6,1,3.5,6,17.5
3,42.5,18,3,0.55,108,72,34,4,0.6,1,3,7,17.5
3,42.5,15,3,0.55,107,71,31,10,0.6,2,0.65,9,17.5
3,42.5,7,4,0.5,91,75,27,4,0.6,1,4,16,17.5
3,42.5,15,3,0.55,111,74,31,10,0.6,1,1.5,11,17.5
3,42.5,18,2,0.55,128,85,36,4,0.6,1,2.7,7,17.5
3,52.5,18,4,0.55,94,63,29,10,0.7,2,1.5,13.1,17.6
3,52.5,18,4,0.55,92,61,27,10,0.6,1,1.5,11,17.6
3,42.5,17,4,0.55,96,64,27,4,0.6,1,3.5,6,17.6
3,42.5,17,2,0.5,153,83,35,4,0.6,1,3.5,6,17.6
3,42.5,15,4,0.55,94,63,28,10,0.6,1,3,9.5,17.6
3,42.5,17,3,0.5,130,70,33,4,0.6,1,3,6,17.6
3,42.5,18,3,0.55,103,68,31,4,0.6,1,2.5,10,17.6
3,42.5,17,4,0.55,92,61,27,4,0.6,1,2.5,8,17.6
3,42.5,17,4,0.55,92,61,27,4,0.6,1,2.5,7,17.6
3,42.5,17,4,0.55,92,61,27,4,0.6,1,2.5,11.5,17.6
3,42.5,15,3,0.55,107,71,31,10,0.6,1,2.1,6,17.6
3,52.5,15,4,0.55,94,63,28,10,0.6,1,3,18,17.7
3,42.5,7,3,0.48,140,60,30,4,0.6,1,3,10,17.7
3,42.5,7,4,0.5,91,75,27,4,0.6,1,3.5,9,17.7
3,42.5,18,4,0.5,91,75,27,4,0.6,1,2.5,10,17.7
3,42.5,15,3,0.55,107,71,31,10,0.6,1,1.6,7,17.7
3,52.5,14,3,0.5,155,25,30,10,0.6,2,0.7,2.8,17.8
3,52.5,13,4,0.55,96,40,27,10,0.6,2,0.75,2.8,17.8
3,52.5,3,4,0.55,97,65,27,10,0.6,2,0.8,11.9,17.8
3,52.5,2,3,0.5,70,96,33,2,0.5,2,5,14.5,17.8
3,42.5,18,4,0.5,91,75,27,4,0.6,1,4.8,7,17.8
3,42.5,17,4,0.5,113,61,27,4,0.6,1,4,7,17.8
3,42.5,17,3,0.55,103,68,30,4,0.6,1,2.5,8,17.8
3,42.5,15,3,0.55,111,74,31,10,0.6,1,1.2,17,17.8
3,42.5,18,4,0.5,91,75,27,4,0.6,1,4.5,8,17.8
3,42.5,18,3,0.55,108,72,34,4,0.6,1,3,6,17.8
3,42.5,15,3,0.55,107,71,31,10,0.6,1,2.1,5,17.8
3,42.5,15,4,0.55,94,63,28,10,0.6,1,1.7,9.5,17.9
3,42.5,17,4,0.5,111,60,26,4,0.6,1,3,5,17.9
3,42.5,18,4,0.5,91,75,27,4,0.6,1,2.5,12,17.9
3,52.5,14,4,0.55,94,40,26,10,0.6,2,1.1,6,18
3,52.5,18,4,0.55,92,61,25,10,0.5,2,1.1,13,18
3,52.5,7,4,0.55,97,65,28,10,0.7,2,0.85,9.1,18
3,42.5,15,4,0.55,92,61,27,10,0.6,2,0.8,5,18
3,42.5,7,2,0.55,132,88,36,4,0.6,1,3.5,8,18
3,42.5,18,3,0.55,108,72,34,4,0.6,1,3.4,10,18
3,42.5,7,4,0.55,92,61,27,4,0.6,1,3.5,13,18
3,42.5,15,4,0.55,94,63,27,10,0.6,1,1.3,9,18
3,42.5,18,3,0.55,108,72,34,4,0.6,1,3,6,18
3,52.5,12,4,0.55,101,40,29,10,0.5,2,1,10.5,18.1
3,52.5,17,4,0.55,94,63,26,10,0.5,2,1.1,9.5,18.1
3,42.5,18,3,0.55,108,72,34,4,0.6,1,3.8,7,18.1
3,42.5,18,4,0.5,91,75,27,4,0.6,1,2.5,10,18.1
3,42.5,15,4,0.55,94,63,27,10,0.6,1,1.3,10,18.1
3,52.5,14,3,0.5,133,35,30,10,0.6,2,0.7,6.4,18.2
3,52.5,11,4,0.55,98,65,30,2,0.7,2,0.75,9,18.2
3,52.5,16,4,0.55,92,61,27,10,0.67,2,1.05,13.6,18.2
3,42.5,18,4,0.55,96,64,28,4,0.6,1,3.2,5,18.2
3,42.5,18,2,0.55,128,85,36,2,0.6,1,3,6,18.2
3,42.5,7,3,0.48,140,60,30,4,0.6,1,3.5,11,18.2
3,42.5,7,4,0.5,91,75,27,4,0.6,1,3.5,12,18.2
3,42.5,15,4,0.55,94,63,27,10,0.6,1,1.3,9,18.2
3,42.5,15,4,0.55,94,63,27,10,0.6,1,1.3,10,18.2
