水泥品种,水泥强度,粉煤灰种类-依据地区,混凝土级配,水灰比,水泥用量（kg/m3）,粉煤灰掺量（%）,砂率,减水剂种类,减水剂掺量（%）,引气剂种类,引气剂掺量（%）,混凝土温度,R28（已整合）
3,42.5,15,3,0.48,146,63,30,10,0.6,1,2,13,29.1
3,42.5,15,2,0.45,230,77,43,5,0.8,1,0.8,7,29.1
3,42.5,15,2,0.45,225,75,43,5,0.8,1,0.8,7,29.1
3,42.5,17,2,0.45,240,60,43,5,0.8,3,0.6,12,29.1
3,52.5,11,3,0.5,176,44,34,10,0.6,2,0.65,15,29.2
3,52.5,18,3,0.45,174,44,28,10,0.6,2,0.85,7.6,29.2
3,52.5,16,2,0.45,210,52,34,10,0.6,2,0.6,11.9,29.2
3,52.5,3,2,0.45,258,64,43,3,0.7,2,1,13,29.2
3,52.5,18,3,0.5,130,70,33,3,0.6,1,3,14,29.2
3,52.5,15,4,0.5,113,61,27,10,0.6,1,3.5,14,29.2
3,42.5,17,4,0.5,113,61,27,4,0.6,1,4,9,29.2
3,42.5,15,2,0.45,222,56,33,10,0.6,2,0.7,6,29.2
3,42.5,7,3,0.48,140,60,30,4,0.6,1,3,13,29.2
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.1,11,29.2
3,42.5,15,3,0.48,150,64,30,10,0.6,1,1.1,10,29.2
3,42.5,15,4,0.48,128,55,27,10,0.6,1,1.3,9,29.2
3,42.5,15,2,0.45,207,89,43,5,0.8,1,0.8,12,29.2
3,42.5,17,3,0.5,134,72,30,4,0.6,1,2,15,29.2
3,42.5,15,3,0.48,140,60,30,10,0.6,1,1.5,6,29.2
3,42.5,15,2,0.45,215,54,33,10,0.6,1,1.4,8,29.2
3,42.5,15,4,0.48,128,55,27,10,0.6,1,1,12,29.2
3,42.5,17,3,0.48,146,63,30,4,0.6,1,3.5,8,29.2
3,42.5,18,3,0.5,124,66,30,4,0.6,1,2.5,6,29.2
3,42.5,18,3,0.48,140,60,30,4,0.6,1,2.5,6,29.2
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.4,7,29.2
3,42.5,15,2,0.48,179,77,35,10,0.6,1,1.3,6,29.2
3,42.5,18,2,0.45,215,54,33,4,0.6,1,2,12,29.2
3,42.5,15,3,0.48,146,63,30,10,0.6,1,2,15,29.2
1,42.5,15,2,0.45,245,61,43,5,0.8,1,1.6,8,29.2
3,42.5,15,2,0.48,183,98,43,5,0.8,1,2.3,5.5,29.2
3,42.5,15,2,0.48,183,98,43,5,0.8,1,2.3,7,29.2
3,42.5,15,2,0.5,159,85,35,10,0.6,1,1.4,19,29.2
3,42.5,15,2,0.45,222,56,33,10,0.6,1,1.4,7,29.2
3,42.5,15,2,0.5,173,93,38,10,0.6,1,1.4,10,29.2
3,42.5,15,2,0.45,210,90,43,5,0.8,1,0.8,13,29.2
3,52.5,14,4,0.5,120,35,28,10,0.6,2,0.7,9.4,29.3
3,52.5,13,3,0.5,140,35,34,10,0.6,2,0.75,6.6,29.3
3,52.5,18,2,0.45,208,52,35,10,0.6,2,1.4,8,29.3
3,52.5,17,4,0.45,137,59,25,10,0.5,2,0.95,16.7,29.3
3,52.5,17,4,0.5,111,60,26,10,0.6,1,2.5,12,29.3
3,42.5,15,3,0.48,146,63,28,10,0.6,1,1.4,10,29.3
3,42.5,15,4,0.48,128,55,27,10,0.6,2,0.9,8,29.3
3,42.5,15,3,0.48,146,63,30,10,0.6,1,1.1,9,29.3
3,42.5,18,3,0.48,140,60,30,4,0.6,1,1.5,7,29.3
3,42.5,17,3,0.48,165,41,30,4,0.6,1,2,11,29.3
3,42.5,15,2,0.48,179,77,35,10,0.6,1,1.4,10,29.3
3,42.5,15,3,0.48,150,64,30,10,0.6,1,1.6,10,29.3
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.5,15,29.3
1,42.5,18,2,0.45,203,51,34,5,0.8,1,2.5,5,29.3
3,42.5,15,2,0.48,179,77,35,10,0.6,1,1.6,10.5,29.3
1,42.5,15,2,0.45,240,60,35,10,0.6,1,1.4,4,29.3
3,42.5,15,2,0.45,231,58,34,10,0.6,1,1.4,6,29.3
3,42.5,15,2,0.45,222,56,33,10,0.6,1,1.4,14,29.3
3,42.5,17,2,0.5,159,85,35,5,0.6,1,1.4,8,29.3
3,52.5,12,2,0.45,233,58,36,10,0.5,2,0.8,8.1,29.4
3,52.5,16,3,0.5,157,39,29,10,0.6,2,0.8,14.5,29.4
3,52.5,17,1,0.45,240,60,39,10,0.6,2,0.5,14.2,29.4
3,52.5,16,4,0.45,135,58,25,10,0.6,2,0.7,6.3,29.4
3,52.5,18,3,0.5,157,39,29,2,0.6,2,1.75,13.2,29.4
3,52.5,17,3,0.5,176,44,34,10,0.6,2,0.65,7.8,29.4
3,52.5,15,3,0.45,181,45,30,10,0.7,2,0.5,4,29.4
3,42.5,15,3,0.48,146,63,28,10,0.6,1,1.4,7,29.4
3,42.5,15,3,0.45,174,44,28,10,0.6,2,0.7,7,29.4
3,42.5,18,2,0.48,174,74,35,4,0.6,1,3.8,6,29.4
3,42.5,18,3,0.48,140,60,30,4,0.6,1,3.8,6,29.4
3,42.5,18,3,0.48,140,60,30,4,0.6,1,3.4,7,29.4
3,42.5,15,3,0.48,140,60,30,10,0.6,1,1.1,14,29.4
3,42.5,18,3,0.48,158,40,30,4,0.7,1,2.3,16,29.4
3,42.5,18,3,0.48,158,40,30,4,0.6,1,1.5,11,29.4
3,42.5,17,3,0.48,140,60,30,4,0.6,1,2,9,29.4
3,42.5,17,4,0.48,125,54,26,4,0.6,1,2.5,8,29.4
3,42.5,15,2,0.43,273,68,44,3,0.8,1,0.8,6,29.4
3,42.5,17,4,0.48,125,54,26,4,0.6,1,3.5,7,29.4
3,42.5,17,4,0.48,125,54,26,4,0.6,1,2.5,10,29.4
3,42.5,15,2,0.45,245,61,43,5,0.8,1,1.1,7,29.4
3,42.5,18,2,0.45,215,54,33,4,0.6,1,3,9,29.4
3,42.5,17,3,0.48,147,63,33,4,0.6,1,2,10,29.4
3,42.5,15,2,0.43,273,68,44,5,0.8,1,0.8,14,29.4
1,42.5,18,3,0.45,175,44,29,5,0.8,1,1.8,12.5,29.4
3,42.5,15,3,0.45,202,87,39,5,0.8,1,2.1,8,29.4
1,42.5,15,2,0.45,213,71,36,5,0.8,1,1.7,14.5,29.4
2,42.5,15,2,0.48,179,77,35,10,0.6,1,1.9,16,29.4
3,42.5,15,2,0.45,225,75,43,5,0.8,1,0.8,8,29.4
3,42.5,15,2,0.45,225,75,43,5,0.8,1,0.8,8,29.4
3,42.5,15,2,0.45,225,75,43,5,0.8,1,0.8,13,29.4
3,42.5,15,2,0.45,210,90,43,5,0.8,1,0.8,14,29.4
3,52.5,14,3,0.45,172,25,29,10,0.6,2,0.65,9.2,29.5
3,52.5,14,4,0.5,120,35,28,10,0.6,2,0.7,7.4,29.5
3,52.5,7,3,0.52,148,64,32,10,0.5,2,0.3,13.5,29.5
3,52.5,7,4,0.5,116,62,28,10,0.7,2,0.8,8.7,29.5
3,52.5,18,3,0.45,174,44,28,10,0.6,2,0.8,17.9,29.5
3,52.5,3,3,0.45,157,67,30,10,0.7,2,0.75,10.7,29.5
3,52.5,11,3,0.5,176,44,34,2,0.6,2,0.9,15.7,29.5
3,52.5,3,3,0.45,183,46,30,10,0.7,2,0.7,16.2,29.5
3,52.5,18,3,0.5,157,39,29,2,0.6,2,1.75,11,29.5
3,52.5,17,3,0.45,174,44,30,4,0.5,1,3.5,13.5,29.5
3,52.5,18,4,0.5,113,61,27,10,0.6,1,2,14,29.5
3,52.5,15,3,0.45,174,44,27,10,0.6,2,0.7,11,29.5
3,42.5,15,3,0.45,174,44,28,10,0.6,1,1.1,9,29.5
3,42.5,15,3,0.48,140,60,30,10,0.6,1,1.2,18,29.5
3,42.5,17,4,0.48,145,36,27,4,0.7,1,2,11,29.5
3,42.5,17,3,0.48,140,60,30,4,0.6,1,2.5,9,29.5
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.4,13,29.5
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.5,12.5,29.5
3,42.5,15,3,0.48,150,64,30,10,0.6,1,1.3,5,29.5
3,42.5,15,2,0.48,179,77,30,10,0.6,1,1.3,12,29.5
3,42.5,18,2,0.45,222,56,33,10,0.6,1,1.4,11,29.5
3,42.5,15,3,0.48,150,64,30,10,0.6,1,1.7,12,29.5
1,42.5,15,3,0.45,188,47,28,10,0.6,1,1.7,12,29.5
3,42.5,15,2,0.45,230,77,43,5,0.8,1,0.8,11,29.5
3,52.5,11,2,0.45,215,54,36,2,0.6,2,0.65,10.7,29.6
3,52.5,18,3,0.5,157,39,29,10,0.6,2,1,10.1,29.6
3,52.5,18,2,0.45,208,52,35,10,0.6,2,1.4,7.8,29.6
3,52.5,7,2,0.53,186,46,37,10,0.7,2,0.7,13,29.6
3,42.5,18,3,0.48,147,63,33,10,0.6,1,1.2,13,29.6
3,42.5,17,2,0.45,215,54,33,4,0.6,1,3,5,29.6
3,42.5,15,3,0.48,146,62,28,10,0.6,2,0.7,7,29.6
3,42.5,15,3,0.45,180,45,27,10,0.6,2,0.6,5,29.6
3,42.5,18,3,0.48,158,40,30,4,0.7,1,3,14,29.6
3,42.5,18,3,0.48,158,40,30,4,0.7,1,2.7,13,29.6
3,42.5,18,2,0.48,196,49,35,4,0.7,1,2,10,29.6
3,42.5,17,3,0.48,165,41,30,4,0.7,1,2,11,29.6
3,42.5,15,2,0.45,215,54,33,10,0.6,1,1.4,8,29.6
3,42.5,18,2,0.45,231,58,33,4,0.6,1,2,10,29.6
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.5,14,29.6
3,42.5,15,2,0.45,215,54,33,10,0.6,1,1.4,9,29.6
3,42.5,17,3,0.48,165,41,30,4,0.7,1,2,12,29.6
3,42.5,17,3,0.48,140,60,30,4,0.6,1,2,9,29.6
3,42.5,15,4,0.48,128,55,27,10,0.6,1,1.4,7,29.6
3,42.5,15,1,0.45,249,62,38,10,0.6,1,0.9,9,29.6
3,42.5,15,3,0.45,231,58,40,5,0.8,1,0.8,8,29.6
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.5,11,29.6
3,42.5,17,4,0.48,128,55,27,4,0.6,1,2,14,29.6
3,42.5,18,3,0.48,146,63,30,10,0.6,1,1.7,13,29.6
3,42.5,15,3,0.48,146,63,30,10,0.6,1,2,12,29.6
3,42.5,15,2,0.45,215,54,33,10,0.6,1,1.9,12,29.6
3,42.5,15,3,0.48,146,63,30,10,0.6,1,1.9,11,29.6
3,42.5,15,2,0.45,246,61,34,10,0.6,1,1.4,10,29.6
3,42.5,15,2,0.5,173,93,38,10,0.6,1,1.4,12,29.6
3,42.5,17,2,0.45,225,75,43,5,0.8,1,1,13,29.6
3,42.5,17,2,0.45,240,60,43,5,0.8,3,0.6,12,29.6
3,52.5,12,3,0.45,198,20,30,10,0.5,2,0.8,7.3,29.7
3,52.5,18,3,0.45,174,44,28,10,0.6,2,1.2,4.9,29.7
3,52.5,17,3,0.45,174,44,29,10,0.6,2,0.6,14,29.7
3,52.5,18,2,0.45,226,56,36,10,0.6,2,0.5,12.5,29.7
3,52.5,3,2,0.45,258,64,43,3,0.7,2,1,6.5,29.7
3,52.5,18,3,0.5,124,67,30,10,0.6,1,2,13,29.7
3,52.5,18,3,0.5,130,70,33,10,0.6,1,1.5,13,29.7
3,52.5,15,2,0.5,153,83,35,10,0.6,1,3.5,10.5,29.7
3,42.5,18,2,0.5,153,83,35,4,0.6,1,3.5,14,29.7
3,42.5,15,3,0.48,146,63,28,10,0.6,1,1.4,6.5,29.7
3,42.5,15,3,0.45,180,45,27,10,0.6,2,0.5,6.5,29.7
3,42.5,15,3,0.45,180,45,27,10,0.6,2,0.8,5.5,29.7
3,42.5,18,4,0.48,128,55,27,4,0.6,1,5.1,6,29.7
3,42.5,18,3,0.45,183,46,31,4,0.6,1,3.4,8.5,29.7
3,42.5,15,4,0.45,156,39,25,10,0.6,1,1.4,14,29.7
3,42.5,15,2,0.48,168,72,35,10,0.6,1,1.4,14,29.7
3,42.5,17,3,0.48,146,63,30,4,0.6,1,2.5,12,29.7
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.5,6.5,29.7
3,42.5,18,2,0.45,245,61,43,5,0.8,1,0.5,13,29.7
3,42.5,18,2,0.45,203,51,34,5,0.8,1,1.4,12,29.7
3,42.5,18,3,0.48,146,63,30,10,0.6,1,1.5,7,29.7
3,42.5,15,2,0.45,225,75,43,5,0.8,1,0.8,9,29.7
1,42.5,15,3,0.45,180,60,32,5,0.8,1,2.2,6.5,29.7
3,42.5,15,2,0.45,246,61,34,10,0.6,1,1.4,11,29.7
3,42.5,15,2,0.45,225,75,43,5,0.8,1,0.8,7,29.7
3,42.5,15,2,0.45,225,75,43,5,0.8,1,0.8,11.4,29.7
3,42.5,15,2,0.45,210,90,43,5,0.8,1,0.8,11,29.7
3,42.5,15,2,0.45,225,75,43,5,0.8,1,0.8,9,29.7
3,42.5,15,2,0.45,225,75,43,5,0.8,1,0.8,9,29.7
3,52.5,17,4,0.5,120,35,28,10,0.6,2,0.65,4.8,29.8
3,52.5,18,3,0.45,155,67,30,10,0.6,2,0.65,12.5,29.8
3,52.5,17,3,0.5,157,39,28,10,0.6,2,0.8,5.3,29.8
3,52.5,17,2,0.45,228,76,42,3,0.6,2,0.6,11.8,29.8
3,52.5,17,3,0.5,157,39,28,10,0.6,2,0.6,6.4,29.8
3,52.5,16,2,0.45,222,56,34,10,0.6,2,0.7,9.5,29.8
3,52.5,17,3,0.5,157,39,29,10,0.6,2,0.5,9.3,29.8
3,52.5,3,3,0.45,181,45,30,10,0.7,2,0.5,2,29.8
3,52.5,18,3,0.5,124,67,30,10,0.6,1,1.4,10,29.8
3,42.5,17,3,0.5,124,67,30,4,0.6,1,3.5,5,29.8
3,42.5,18,2,0.5,153,83,35,4,0.6,1,2.6,7,29.8
3,42.5,18,3,0.48,158,40,30,4,0.7,1,2,7,29.8
3,42.5,18,2,0.45,215,54,33,4,0.6,1,2,8,29.8
3,42.5,17,2,0.45,222,56,33,4,0.6,1,1.5,15,29.8
3,42.5,15,3,0.48,146,63,30,10,0.6,1,1.5,12,29.8
1,42.5,18,3,0.45,167,42,29,5,0.8,1,1.4,5,29.8
3,42.5,15,3,0.48,146,63,30,10,0.6,1,1.6,12,29.8
3,42.5,18,1,0.48,209,89,50,10,0.6,1,0.6,14,29.8
3,42.5,15,2,0.45,222,56,33,10,0.6,1,1.7,16,29.8
3,42.5,15,2,0.48,230,58,43,5,0.8,1,1.6,7,29.8
3,42.5,15,2,0.45,225,75,43,5,0.8,1,0.8,8,29.8
3,42.5,15,2,0.45,225,75,43,5,0.8,1,0.8,6,29.8
3,42.5,15,2,0.45,225,75,43,5,0.8,1,0.8,8.6,29.8
3,42.5,17,2,0.45,240,60,35,10,0.6,1,1.4,7,29.8
3,42.5,17,2,0.45,225,75,43,5,0.6,1,0.4,8,29.8
3,42.5,17,2,0.45,225,75,43,5,0.8,1,0.8,9,29.8
3,42.5,15,2,0.45,316,35,35,0,0,1,1.5,15,29.8
3,52.5,17,3,0.45,160,53,29,10,0.7,2,0.7,11.4,29.9
3,52.5,3,3,0.45,152,65,30,10,0.6,2,0.7,11.2,29.9
3,52.5,17,2,0.45,231,58,34,10,0.6,2,0.6,19,29.9
3,52.5,17,3,0.45,149,64,28,10,0.6,2,0.6,8,29.9
3,52.5,17,2,0.45,228,76,42,3,0.6,2,0.6,12,29.9
3,52.5,3,1,0.45,247,62,40,10,0.7,2,0.5,10,29.9
3,52.5,15,3,0.5,134,72,30,10,0.6,1,3.5,15,29.9
3,42.5,15,3,0.5,124,67,30,10,0.6,1,1.6,7.5,29.9
3,42.5,15,3,0.48,146,63,28,10,0.6,1,1.4,6.5,29.9
3,42.5,15,3,0.5,124,67,30,10,0.6,1,3,9,29.9
3,42.5,15,3,0.45,174,44,28,10,0.6,1,1.4,7,29.9
3,42.5,17,3,0.48,140,60,30,4,0.6,1,2.5,5,29.9
3,42.5,15,3,0.45,174,44,28,10,0.6,1,1.4,7,29.9
3,42.5,18,3,0.48,140,60,30,4,0.6,1,2.5,7,29.9
3,42.5,7,3,0.48,165,41,30,4,0.7,1,2,14,29.9
3,42.5,18,3,0.5,124,67,30,4,0.6,1,2,7,29.9
3,42.5,18,2,0.45,231,58,33,4,0.6,1,2,14,29.9
3,42.5,18,2,0.45,215,54,33,4,0.6,1,2.5,14,29.9
3,42.5,15,2,0.48,179,77,35,10,0.6,1,1.4,7,29.9
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.4,12,29.9
3,42.5,15,2,0.45,231,58,34,10,0.6,1,1.4,14,29.9
3,42.5,15,2,0.45,246,61,34,5,0.6,1,1.4,14,29.9
3,42.5,17,2,0.45,222,56,33,10,0.6,1,1.4,6,29.9
2,42.5,6,1,0.43,297,84,40.5,1,1.9,0,0,25,29.9
3,52.5,12,3,0.45,159,68,30,10,0.5,2,0.95,13,30
3,52.5,2,3,0.5,176,44,34,2,0.6,2,0.75,9.2,30
3,52.5,7,2,0.45,224,56,37,10,0.7,2,0.7,5.8,30
3,52.5,16,2,0.45,217,54,34,10,0.6,2,0.6,7.2,30
3,52.5,11,3,0.45,149,64,28,2,0.6,2,1.2,12.3,30
3,52.5,18,3,0.5,157,39,29,10,0.6,2,1.3,13.1,30
3,52.5,7,2,0.5,187,47,35,10,0.6,2,0.5,11,30
3,52.5,17,3,0.45,148,63,30,10,0.6,2,0.7,8.4,30
3,52.5,3,3,0.45,181,45,30,10,0.7,2,0.5,10,30
3,52.5,3,3,0.45,181,45,30,10,0.7,2,0.5,3.5,30
3,52.5,3,3,0.45,181,45,30,10,0.7,2,0.5,4,30
3,52.5,7,3,0.45,181,45,30,10,0.7,2,0.5,3.5,30
3,42.5,17,4,0.5,113,61,27,4,0.6,1,3.5,5,30
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.1,9,30
3,42.5,15,2,0.45,252,63,43,3,0.6,1,0.8,9,30
3,42.5,17,4,0.48,125,54,26,4,0.6,1,3,10,30
3,42.5,17,2,0.45,229,57,33,4,0.6,1,3,5.5,30
3,42.5,18,3,0.48,140,60,30,4,0.6,1,3,9,30
3,42.5,17,3,0.48,140,60,30,4,0.6,1,2,20,30
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.3,11,30
1,42.5,18,3,0.45,167,42,29,5,0.8,1,2.5,7,30
1,42.5,15,2,0.45,555,56,33,10,0.6,1,2.3,8,30
3,42.5,15,2,0.45,207,89,43,5,0.8,1,1.8,7,30
1,42.5,15,2,0.45,245,61,43,5,0.8,1,0.8,7,30
3,42.5,15,2,0.45,245,61,43,5,0.8,1,0.8,15,30
3,42.5,15,2,0.45,225,75,43,5,0.8,1,0.8,8,30
3,42.5,17,2,0.45,240,60,35,10,0.6,1,1.4,14,30
3,52.5,11,3,0.45,185,46,30,2,0.6,2,0.65,10,30.1
3,52.5,18,2,0.45,231,58,34,10,0.6,2,0.6,5.6,30.1
3,52.5,3,3,0.45,152,65,30,10,0.7,2,0.75,8.5,30.1
3,52.5,17,3,0.45,152,65,30,10,0.7,2,0.7,5.8,30.1
3,52.5,18,4,0.5,113,61,27,10,0.6,1,1.4,9,30.1
3,42.5,15,3,0.48,146,63,28,10,0.6,1,1.4,8,30.1
3,42.5,15,3,0.45,181,45,28,10,0.6,2,0.7,9,30.1
3,42.5,17,4,0.45,156,39,25,4,0.6,1,3.5,9,30.1
3,42.5,7,4,0.48,145,36,27,4,0.7,1,2,16,30.1
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.1,10,30.1
3,42.5,17,2,0.48,197,49,35,4,0.7,1,2,12,30.1
3,42.5,17,3,0.48,140,60,30,4,0.6,1,2.5,5,30.1
3,42.5,17,2,0.45,229,57,33,4,0.6,1,2,4,30.1
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.4,13,30.1
3,42.5,15,2,0.45,245,61,43,5,0.8,1,0.9,9,30.1
3,42.5,18,3,0.48,146,63,30,10,0.6,1,1.4,15,30.1
3,42.5,18,3,0.48,146,63,30,10,0.6,1,1.5,11,30.1
3,42.5,15,2,0.45,207,89,43,5,0.8,1,1.4,8,30.1
3,42.5,15,2,0.45,240,60,43,5,0.8,1,0.8,8,30.1
3,42.5,15,2,0.45,225,75,43,5,0.8,1,0.8,8,30.1
3,42.5,15,2,0.45,222,56,33,10,0.6,1,1.4,6,30.1
3,42.5,15,2,0.45,225,75,43,5,0.8,1,0.8,14,30.1
3,42.5,17,2,0.45,240,60,35,10,0.6,1,1.4,14,30.1
3,42.5,17,2,0.45,225,75,43,5,0.8,1,1,9,30.1
3,52.5,17,3,0.45,174,44,29,10,0.6,2,0.6,10.7,30.2
3,52.5,18,3,0.45,174,44,28,10,0.6,2,1.25,5.7,30.2
3,52.5,11,3,0.55,117,78,35,2,0.6,2,0.9,5.2,30.2
3,52.5,11,2,0.45,208,52,35,2,0.6,2,1,16.1,30.2
3,52.5,3,3,0.45,152,65,30,10,0.7,2,0.75,16,30.2
3,52.5,17,2,0.45,228,76,42,3,0.6,2,0.6,9,30.2
3,42.5,15,3,0.48,146,63,28,10,0.6,2,0.7,10,30.2
3,42.5,15,2,0.45,222,56,33,10,0.6,2,0.7,10,30.2
3,42.5,18,4,0.48,145,36,27,4,0.7,1,2,7,30.2
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.5,14,30.2
3,42.5,18,2,0.48,196,49,35,4,0.7,1,3,5,30.2
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.6,12,30.2
3,42.5,15,2,0.45,245,61,43,5,0.8,1,0.9,8.5,30.2
3,42.5,18,3,0.48,150,64,30,10,0.6,1,1.2,10,30.2
1,42.5,18,2,0.45,229,57,33,10,0.6,1,1.4,10,30.2
3,42.5,18,3,0.45,181,45,28,10,0.6,1,1.5,8,30.2
3,42.5,15,3,0.48,150,64,30,10,0.6,1,1.9,6,30.2
3,42.5,15,2,0.48,234,58,44,5,0.8,1,0.8,8,30.2
3,42.5,15,2,0.45,230,77,43,5,0.8,1,0.8,15,30.2
3,42.5,17,2,0.45,240,60,43,5,0.8,3,0.6,13,30.2
3,52.5,11,3,0.5,166,42,31,10,0.6,2,0.65,7.4,30.3
3,52.5,7,3,0.5,129,69,31,10,0.7,2,0.8,7,30.3
3,52.5,11,2,0.45,219,55,36,10,0.7,2,0.7,10.1,30.3
3,52.5,18,3,0.5,157,39,29,10,0.6,2,1.3,11.2,30.3
3,52.5,17,3,0.45,174,44,28,10,0.6,2,0.5,10.2,30.3
3,52.5,17,3,0.5,130,70,31,10,0.6,1,2.5,11,30.3
3,42.5,18,3,0.5,124,67,30,10,0.6,1,1.2,10,30.3
3,42.5,18,4,0.48,128,55,27,4,0.6,1,2.4,7,30.3
3,42.5,17,2,0.45,215,54,33,4,0.6,1,3,6,30.3
3,42.5,15,4,0.55,94,63,27,10,0.6,1,1.2,13,30.3
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.5,10,30.3
3,42.5,17,4,0.48,125,54,26,4,0.6,1,3,6,30.3
3,42.5,15,3,0.48,131,56,28,8,0.6,1,1.9,7,30.3
3,42.5,17,2,0.45,222,56,33,4,0.6,1,2.5,17,30.3
3,42.5,15,2,0.45,215,92,44,5,0.8,1,0.8,6,30.3
3,42.5,15,3,0.48,150,64,30,10,0.6,1,2,13,30.3
3,42.5,15,2,0.45,240,60,43,5,0.8,1,1,18,30.3
3,42.5,15,2,0.45,225,75,43,5,0.8,1,0.8,7,30.3
3,42.5,15,2,0.45,230,77,43,5,0.8,1,0.6,10,30.3
3,42.5,17,2,0.45,225,75,43,5,0.8,1,1.4,9,30.3
3,52.5,7,3,0.45,189,47,31,10,0.5,2,0.7,4.9,30.4
3,52.5,7,3,0.45,152,65,30,10,0.7,2,0.75,13.5,30.4
3,52.5,2,3,0.45,142,62,28,7,0.6,2,0.6,7,30.4
3,52.5,11,3,0.5,157,39,29,2,0.6,2,1.2,11.7,30.4
3,52.5,7,3,0.45,152,65,30,10,0.7,2,0.75,4.7,30.4
3,52.5,3,2,0.45,184,79,36,10,0.7,2,0.75,13.2,30.4
3,52.5,7,3,0.45,183,46,30,10,0.7,2,0.7,10,30.4
3,52.5,17,4,0.45,137,59,25,10,0.5,2,0.95,6,30.4
3,52.5,3,3,0.45,181,45,30,10,0.7,2,0.5,11,30.4
3,42.5,17,3,0.48,140,60,30,4,0.6,1,3.5,11,30.4
3,52.5,15,3,0.5,124,67,30,10,0.6,1,3,5,30.4
3,42.5,15,4,0.48,125,54,26,10,0.6,1,1.7,9.5,30.4
3,42.5,15,3,0.48,140,60,30,10,0.6,2,0.7,10,30.4
3,42.5,15,4,0.5,113,61,27,10,0.6,1,1.3,14,30.4
3,42.5,15,3,0.48,140,60,30,10,0.6,1,1.5,6,30.4
3,42.5,15,3,0.48,150,64,30,10,0.6,1,1.6,10,30.4
3,42.5,15,2,0.45,215,54,33,10,0.6,1,1.4,17,30.4
1,42.5,18,2,0.41,244,61,35,5,0.8,1,2,11,30.4
3,42.5,15,2,0.45,222,56,33,10,0.6,1,1.8,16,30.4
3,42.5,15,2,0.48,179,77,35,10,0.6,1,1.8,14,30.4
3,42.5,15,2,0.48,230,58,43,5,0.8,1,1.5,11,30.4
3,42.5,15,2,0.45,222,56,33,10,0.6,1,1.8,11,30.4
3,42.5,15,3,0.48,146,63,30,10,0.6,1,1.3,7,30.4
1,42.5,15,3,0.45,180,60,32,5,0.8,1,2.1,7,30.4
3,42.5,15,2,0.5,159,85,35,10,0.6,1,1.4,15,30.4
3,42.5,15,2,0.45,225,75,43,5,0.8,1,0.8,7,30.4
3,42.5,15,2,0.45,225,75,43,5,0.8,1,0.6,7,30.4
3,42.5,15,2,0.45,225,75,43,5,0.8,1,0.8,15,30.4
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.4,13,30.4
3,52.5,7,3,0.45,178,44,30,10,0.7,2,0.5,8.5,30.5
3,52.5,7,3,0.45,183,46,30,10,0.7,2,0.7,7,30.5
3,52.5,4,3,0.45,152,65,30,10,0.7,2,0.75,8.7,30.5
3,52.5,18,2,0.45,184,79,36,10,0.7,2,0.75,14.5,30.5
3,52.5,3,3,0.45,181,45,30,10,0.7,2,0.5,8,30.5
3,42.5,15,2,0.48,174,74,35,10,0.6,2,0.6,12,30.5
3,42.5,7,3,0.45,174,44,28,4,0.6,1,3,14,30.5
3,42.5,7,4,0.48,145,36,27,4,0.7,1,2,12,30.5
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.1,13,30.5
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.5,9,30.5
3,42.5,15,2,0.45,215,54,33,10,0.6,1,1.4,8,30.5
3,42.5,17,3,0.48,146,63,30,4,0.6,1,2.5,10,30.5
3,42.5,18,2,0.45,231,58,33,4,0.6,1,2,7,30.5
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.4,12.5,30.5
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.5,7,30.5
3,42.5,15,2,0.48,156,67,34,5,0.8,1,1.5,17,30.5
3,42.5,15,3,0.45,181,45,28,10,0.6,1,1.5,17,30.5
3,42.5,17,2,0.45,229,57,33,4,0.6,1,1.5,10,30.5
1,42.5,18,3,0.45,167,42,29,5,0.8,1,2.3,8,30.5
1,42.5,15,2,0.45,222,56,33,10,0.6,1,2.5,8.5,30.5
1,42.5,15,3,0.45,188,47,28,10,0.6,1,1.9,13,30.5
3,42.5,15,2,0.48,179,77,35,10,0.6,1,2.4,13,30.5
3,42.5,15,2,0.45,231,58,34,10,0.6,1,1.7,15,30.5
3,52.5,11,3,0.5,166,42,31,2,0.6,2,0.7,9.1,30.6
